Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1627147635166,24/07/2021 17:27:15,1627147679980,1,24/07/2021 18:27:59,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1627147636550,24/07/2021 17:27:16,1627147681423,1,24/07/2021 18:28:01,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,1,1,1,Screen 1,advancementZone,continue_button,1371,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1627147641239,24/07/2021 17:27:21,1627147686083,1,24/07/2021 18:28:06,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,7,1,1,noTarget,Zone1,response_button_image,4629.400000095367,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
4,1627147643145,24/07/2021 17:27:23,1627147688012,1,24/07/2021 18:28:08,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,7,1,2,target,Zone2,response_button_image,1916.4000000953674,,,redSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
5,1627147644929,24/07/2021 17:27:24,1627147689806,1,24/07/2021 18:28:09,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,9,1,1,noTarget,Zone1,response_button_image,1775.4000000953674,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
6,1627147646814,24/07/2021 17:27:26,1627147691683,1,24/07/2021 18:28:11,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,9,1,2,target,Zone2,response_button_image,1865.2000000476837,,,redSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
7,1627147648703,24/07/2021 17:27:28,1627147693579,1,24/07/2021 18:28:13,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,6,1,1,noTarget,Zone1,response_button_image,1866.1999998092651,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
8,1627147650470,24/07/2021 17:27:30,1627147695315,1,24/07/2021 18:28:15,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,6,1,2,target,Zone2,response_button_image,1725,,,redSquare.png,1,0,1,0,,,,,1,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
9,1627147652159,24/07/2021 17:27:32,1627147696971,1,24/07/2021 18:28:16,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,15,1,1,noTarget,Zone1,response_button_image,1631.5999999046326,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
10,1627147654605,24/07/2021 17:27:34,1627147699409,1,24/07/2021 18:28:19,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,15,1,2,target,Zone2,response_button_image,2427.5999999046326,,,redSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
11,1627147656478,24/07/2021 17:27:36,1627147701343,1,24/07/2021 18:28:21,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,4,1,1,noTarget,Zone1,response_button_image,1913.8000001907349,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
12,1627147658342,24/07/2021 17:27:38,1627147703190,1,24/07/2021 18:28:23,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,4,1,2,target,Zone2,response_button_image,1836.3999998569489,,,redSquare.png,1,0,1,0,,,,,1,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
13,1627147660191,24/07/2021 17:27:40,1627147705059,1,24/07/2021 18:28:25,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,12,1,1,noTarget,Zone1,response_button_image,1849.7000000476837,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
14,1627147662435,24/07/2021 17:27:42,1627147707301,1,24/07/2021 18:28:27,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,12,1,2,target,Zone2,response_button_image,2232.899999856949,,,redSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
15,1627147664264,24/07/2021 17:27:44,1627147709135,1,24/07/2021 18:28:29,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,8,1,1,noTarget,Zone1,response_button_image,1813.6000001430511,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
16,1627147666092,24/07/2021 17:27:46,1627147710968,1,24/07/2021 18:28:30,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,8,1,2,target,Zone2,response_button_image,1822.2000000476837,,,redSquare.png,1,0,1,0,,,,,1,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
17,1627147667757,24/07/2021 17:27:47,1627147712615,1,24/07/2021 18:28:32,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,14,1,1,noTarget,Zone1,response_button_image,1620.7000000476837,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
18,1627147669876,24/07/2021 17:27:49,1627147714727,1,24/07/2021 18:28:34,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,14,1,2,target,Zone2,response_button_image,2097.4000000953674,,,redSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
19,1627147672021,24/07/2021 17:27:52,1627147716886,1,24/07/2021 18:28:36,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,11,1,1,noTarget,Zone1,response_button_image,2139.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
20,1627147673397,24/07/2021 17:27:53,1627147718273,1,24/07/2021 18:28:38,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,11,1,2,target,Zone2,response_button_image,1375.7000000476837,,,redSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
21,1627147675477,24/07/2021 17:27:55,1627147720294,1,24/07/2021 18:28:40,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,3,1,1,noTarget,Zone1,response_button_image,1994.1000001430511,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
22,1627147676873,24/07/2021 17:27:56,1627147721674,1,24/07/2021 18:28:41,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,3,1,2,target,Zone2,response_button_image,1366.2000000476837,,,redSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
23,1627147678332,24/07/2021 17:27:58,1627147723197,1,24/07/2021 18:28:43,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,16,1,1,noTarget,Zone1,response_button_image,1505.3999998569489,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
24,1627147679974,24/07/2021 17:27:59,1627147724863,1,24/07/2021 18:28:44,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,16,1,2,target,Zone2,response_button_image,1652.8999998569489,,,redSquare.png,1,0,1,0,,,,,1,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
25,1627147681725,24/07/2021 17:28:01,1627147726598,1,24/07/2021 18:28:46,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,13,1,1,noTarget,Zone1,response_button_image,1716.0999999046326,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
26,1627147683366,24/07/2021 17:28:03,1627147728236,1,24/07/2021 18:28:48,53563,19,task-osyu,,14559040,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,13,1,2,target,Zone2,response_button_image,1626.8000001907349,,,redSquare.png,1,0,1,0,,,,,1,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
