Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1632064585893,19/09/2021 15:16:25,1632064585199,1,19/09/2021 16:16:25,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1632064591304,19/09/2021 15:16:31,1632064590638,1,19/09/2021 16:16:30,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,1,1,1,Screen 1,advancementZone,continue_button,5403.200000001118,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1632064593939,19/09/2021 15:16:33,1632064593303,1,19/09/2021 16:16:33,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,13,1,1,noTarget,Zone1,response_button_image,2656.5,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
4,1632064594864,19/09/2021 15:16:34,1632064594230,1,19/09/2021 16:16:34,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,13,1,2,target,Zone2,response_button_image,923.4000000003725,,,redSquare.png,1,0,1,0,,,,,1,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
5,1632064596027,19/09/2021 15:16:36,1632064595390,1,19/09/2021 16:16:35,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,12,1,1,noTarget,Zone1,response_button_image,1153,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
6,1632064597027,19/09/2021 15:16:37,1632064596382,1,19/09/2021 16:16:36,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,12,1,2,target,Zone2,response_button_image,988.8000000007451,,,redSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
7,1632064598234,19/09/2021 15:16:38,1632064597582,1,19/09/2021 16:16:37,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,9,1,1,noTarget,Zone1,response_button_image,1194.300000000745,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
8,1632064599460,19/09/2021 15:16:39,1632064598798,1,19/09/2021 16:16:38,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,9,1,2,target,Zone2,response_button_image,1213.5,,,redSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
9,1632064600635,19/09/2021 15:16:40,1632064599982,1,19/09/2021 16:16:39,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,14,1,1,noTarget,Zone1,response_button_image,1178.0999999996275,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
10,1632064601711,19/09/2021 15:16:41,1632064601070,1,19/09/2021 16:16:41,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,14,1,2,target,Zone2,response_button_image,1084.9000000003725,,,redSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
11,1632064603205,19/09/2021 15:16:43,1632064602558,1,19/09/2021 16:16:42,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,7,1,1,noTarget,Zone1,response_button_image,1482.0999999996275,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
12,1632064604361,19/09/2021 15:16:44,1632064603734,1,19/09/2021 16:16:43,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,7,1,2,target,Zone2,response_button_image,1172.800000000745,,,redSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
13,1632064605386,19/09/2021 15:16:45,1632064604742,1,19/09/2021 16:16:44,53563,20,task-sgnv,,15849158,BLIND,4690432,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 93.0.4577.82,1280x1024,1280x1024,,Fitts's Law,8,bothFirst,168,Right,168,Right,,,,,right,right,15,1,1,noTarget,Zone1,response_button_image,999.4000000003725,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
