Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1641066096079,01/01/2022 19:41:36,1641066155228,0,01/01/2022 19:42:35,53563,21,task-ptdz,,18257096,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Eye dominance,4,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1641066099080,01/01/2022 19:41:39,1641066158373,0,01/01/2022 19:42:38,53563,21,task-ptdz,,18257096,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Eye dominance,4,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,2641.7000002861023,,,,,0,1,0,,,,,,intro,
3,1641066103016,01/01/2022 19:41:43,1641066162210,0,01/01/2022 19:42:42,53563,21,task-ptdz,,18257096,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Eye dominance,4,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,1522.5999999046326,,,,,0,1,0,,,,,,video,
4,1641066104770,01/01/2022 19:41:44,1641066164054,0,01/01/2022 19:42:44,53563,21,task-ptdz,,18257096,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Eye dominance,4,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1801.6000003814697,,,,,0,1,0,,,,,,instructions,
5,1641066105874,01/01/2022 19:41:45,1641066165194,0,01/01/2022 19:42:45,53563,21,task-ptdz,,18257096,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Eye dominance,4,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,1091.4000000953674,,,Right,1,0,1,0,,,,,,response,
6,1641066105982,01/01/2022 19:41:45,1641066165209,0,01/01/2022 19:42:45,53563,21,task-ptdz,,18257096,BLIND,5409261,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 96.0.4664.45,1366x768,1366x657,,Eye dominance,4,oneFirst,,,,,157,Right,157,Right,Spreadsheet1,,,END TASK,,,,,9981,,,,,0,1,0,,,,,,,
1,1642799055343,21/01/2022 21:04:15,1642797975458,0,21/01/2022 20:46:15,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1642799064770,21/01/2022 21:04:24,1642797984927,0,21/01/2022 20:46:24,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,8453.7,,,,,0,1,0,,,,,,intro,
3,1642799069799,21/01/2022 21:04:29,1642797989971,0,21/01/2022 20:46:29,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_embedded_youtube_api,,,,ERROR: The YouTube video took too long to load or the play command was blocked,1,0,1,0,,,,,,video,
4,1642799079903,21/01/2022 21:04:39,1642798000084,0,21/01/2022 20:46:40,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_embedded_youtube_api,,,,ERROR: The YouTube video took too long to load or the play command was blocked,2,0,1,0,,,,,,video,
5,1642799094010,21/01/2022 21:04:54,1642798014198,0,21/01/2022 20:46:54,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,content_embedded_youtube_api,,,,"ERROR: After 3 attempts, the youtube video still failed to play",3,0,1,0,,,,,,video,
6,1642799163292,21/01/2022 21:06:03,1642798083334,0,21/01/2022 20:48:03,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,98278.9,,,,,0,1,0,,,,,,video,
7,1642799256163,21/01/2022 21:07:36,1642798176240,0,21/01/2022 20:49:36,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,92871.70000000001,,,,,0,1,0,,,,,,instructions,
8,1642799260185,21/01/2022 21:07:40,1642798180368,0,21/01/2022 20:49:40,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,4001.3000000000175,,,Right,1,0,1,0,,,,,,response,
9,1642799260246,21/01/2022 21:07:40,1642798180373,0,21/01/2022 20:49:40,53563,21,task-ptdz,,18744488,BLIND,5550049,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 17.17134,1422x800,1422x692,,Eye dominance,4,bothFirst,157,Right,157,Right,,,,,Spreadsheet1,,,END TASK,,,,,204915,,,,,0,1,0,,,,,,,
1,1642444923260,17/01/2022 18:42:03,1642444923130,0,17/01/2022 18:42:03,53563,21,task-ptdz,,18575062,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x711,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1642444927207,17/01/2022 18:42:07,1642444926978,0,17/01/2022 18:42:06,53563,21,task-ptdz,,18575062,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x711,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3788,,,,,0,1,0,,,,,,intro,
3,1642444963155,17/01/2022 18:42:43,1642444963073,0,17/01/2022 18:42:43,53563,21,task-ptdz,,18575062,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x711,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,36073,,,,,0,1,0,,,,,,video,
4,1642444973980,17/01/2022 18:42:53,1642444973893,0,17/01/2022 18:42:53,53563,21,task-ptdz,,18575062,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x711,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,10809,,,,,0,1,0,,,,,,instructions,
5,1642444976346,17/01/2022 18:42:56,1642444976271,0,17/01/2022 18:42:56,53563,21,task-ptdz,,18575062,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x711,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonA,response_button_text,2341,,,Left,1,0,1,0,,,,,,response,
6,1642444976433,17/01/2022 18:42:56,1642444976274,0,17/01/2022 18:42:56,53563,21,task-ptdz,,18575062,BLIND,5498486,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.3,1440x900,1440x711,,Eye dominance,4,bothFirst,163,Right,163,Right,,,,,Spreadsheet1,,,END TASK,,,,,53144,,,,,0,1,0,,,,,,,
1,1642074285058,13/01/2022 11:44:45,1642074284456,0,13/01/2022 11:44:44,53563,21,task-ptdz,,18488478,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x569,,Eye dominance,4,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1642074289959,13/01/2022 11:44:49,1642074289404,0,13/01/2022 11:44:49,53563,21,task-ptdz,,18488478,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x569,,Eye dominance,4,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4886.700000000186,,,,,0,1,0,,,,,,intro,
3,1642074366367,13/01/2022 11:46:06,1642074365799,0,13/01/2022 11:46:05,53563,21,task-ptdz,,18488478,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x569,,Eye dominance,4,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,76370.80000000005,,,,,0,1,0,,,,,,video,
4,1642074394623,13/01/2022 11:46:34,1642074394051,0,13/01/2022 11:46:34,53563,21,task-ptdz,,18488478,BLIND,5470308,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 97.0.1072.55,1280x720,1280x569,,Eye dominance,4,oneFirst,,,,,163,Right,163,Right,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,28232.600000000093,,,,,0,1,0,,,,,,instructions,
