Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1627133858932,24/07/2021 13:37:38,1627133859357,1,24/07/2021 14:37:39,53563,19,task-ptdz,,14556948,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1627133862390,24/07/2021 13:37:42,1627133862884,1,24/07/2021 14:37:42,53563,19,task-ptdz,,14556948,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,3502,,,,,0,1,0,,,,,,intro,
3,1627133898103,24/07/2021 13:38:18,1627133898569,1,24/07/2021 14:38:18,53563,19,task-ptdz,,14556948,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,35675,,,,,0,1,0,,,,,,video,
4,1627133900810,24/07/2021 13:38:20,1627133901295,1,24/07/2021 14:38:21,53563,19,task-ptdz,,14556948,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2721,,,,,0,1,0,,,,,,instructions,
5,1627133901668,24/07/2021 13:38:21,1627133902134,1,24/07/2021 14:38:22,53563,19,task-ptdz,,14556948,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,buttonB,response_button_text,827,,,Right,1,0,1,0,,,,,,response,
6,1627133901747,24/07/2021 13:38:21,1627133902146,1,24/07/2021 14:38:22,53563,19,task-ptdz,,14556948,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x965,,Eye dominance,4,bothFirst,178,Right,178,Right,,,,,Spreadsheet1,,,END TASK,,,,,42790,,,,,0,1,0,,,,,,,
1,1627144830279,24/07/2021 16:40:30,1627144875128,1,24/07/2021 17:41:15,53563,19,task-ptdz,,14558595,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x754,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1627144847964,24/07/2021 16:40:47,1627144892869,1,24/07/2021 17:41:32,53563,19,task-ptdz,,14558595,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1519x754,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,17561,,,,,0,1,0,,,,,,intro,
3,1627144882853,24/07/2021 16:41:22,1627144927777,1,24/07/2021 17:42:07,53563,19,task-ptdz,,14558595,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1519x754,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone2,continue_button,34842.199999809265,,,,,0,1,0,,,,,,video,
4,1627144887633,24/07/2021 16:41:27,1627144932553,1,24/07/2021 17:42:12,53563,19,task-ptdz,,14558595,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1519x754,,Eye dominance,4,oneFirst,,,,,183,Right,183,Right,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,4757.799999952316,,,,,0,1,0,,,,,,instructions,
