Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1627146248202,24/07/2021 17:04:08,1627146293047,1,24/07/2021 18:04:53,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1627146273341,24/07/2021 17:04:33,1627146318215,1,24/07/2021 18:05:18,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,1,1,1,Screen 1,advancementZone,continue_button,25094.60000014305,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1627146276706,24/07/2021 17:04:36,1627146321596,1,24/07/2021 18:05:21,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,16,1,1,noTarget,Zone1,response_button_image,3343,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
4,1627146279493,24/07/2021 17:04:39,1627146324393,1,24/07/2021 18:05:24,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,16,1,2,target,Zone2,response_button_image,2782.699999809265,,,redSquare.png,1,0,1,0,,,,,1,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
5,1627146281838,24/07/2021 17:04:41,1627146326704,1,24/07/2021 18:05:26,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,14,1,1,noTarget,Zone1,response_button_image,2272.5999999046326,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
6,1627146284208,24/07/2021 17:04:44,1627146329085,1,24/07/2021 18:05:29,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,14,1,2,target,Zone2,response_button_image,2369.2000000476837,,,redSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
7,1627146286748,24/07/2021 17:04:46,1627146331657,1,24/07/2021 18:05:31,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,12,1,1,noTarget,Zone1,response_button_image,2542.5999999046326,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
8,1627146288855,24/07/2021 17:04:48,1627146333748,1,24/07/2021 18:05:33,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,12,1,2,target,Zone2,response_button_image,2080.7000000476837,,,redSquare.png,1,0,1,0,,,,,1,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
9,1627146290784,24/07/2021 17:04:50,1627146335677,1,24/07/2021 18:05:35,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,5,1,1,noTarget,Zone1,response_button_image,1909.5,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
10,1627146292744,24/07/2021 17:04:52,1627146337646,1,24/07/2021 18:05:37,53563,19,task-hg5t,,14558770,uoodo0al,4333147,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 91.0.864.67,1536x864,1536x864,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,5,1,2,target,Zone2,response_button_image,1956.2999999523163,,,redSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
