"","Participant.Private.ID","Eye.Condition","structure","meanRt","hand","size","xR","yR","xL","yL"
"72",4333569,"Binoc","pos4Size3",1310.0624999404,"right",5,74,74,26,74
"73",4333569,"Binoc","pos5Size1",708.687499940395,"right",20,8,46,92,46
"74",4333569,"Binoc","pos5Size2",1086.54999995232,"right",10,8,46,92,46
"75",4333569,"Binoc","pos5Size3",1070.52499991655,"right",5,8,46,92,46
"76",4333569,"Mono","pos1Size1",941.400000035763,"right",20,40,40,60,40
"77",4333569,"Mono","pos1Size2",987.224999964237,"right",10,40,40,60,40
"78",4333569,"Mono","pos1Size3",1146.4375000596,"right",5,40,40,60,40
"79",4333569,"Mono","pos2Size1",679.712499976158,"right",20,20,25,80,25
"80",4333569,"Mono","pos2Size2",886.187500119209,"right",10,20,25,80,25
"81",4333569,"Mono","pos2Size3",1065.86249989271,"right",5,20,25,80,25
"82",4333569,"Mono","pos3Size1",1181.55000001192,"right",20,41,71,59,71
"83",4333569,"Mono","pos3Size2",1165.46250003576,"right",10,41,71,59,71
"84",4333569,"Mono","pos3Size3",1465.44999992848,"right",5,41,71,59,71
"85",4333569,"Mono","pos4Size1",3629.08749997616,"right",20,74,74,26,74
"86",4333569,"Mono","pos4Size2",1580.21250003576,"right",10,74,74,26,74
"87",4333569,"Mono","pos4Size3",1476.04999989271,"right",5,74,74,26,74
"88",4333569,"Mono","pos5Size1",1472.92499995232,"right",20,8,46,92,46
"89",4333569,"Mono","pos5Size2",1075.27500003576,"right",10,8,46,92,46
"90",4333569,"Mono","pos5Size3",1207.46249997616,"right",5,8,46,92,46
"91",4333590,"Binoc","pos1Size1",944.400000000081,"right",20,40,40,60,40
"92",4333590,"Binoc","pos1Size2",1185.81250000009,"right",10,40,40,60,40
"93",4333590,"Binoc","pos1Size3",1795.78750000009,"right",5,40,40,60,40
"94",4333590,"Binoc","pos2Size1",893.662499999919,"right",20,20,25,80,25
"95",4333590,"Binoc","pos2Size2",1093.43750000006,"right",10,20,25,80,25
"96",4333590,"Binoc","pos2Size3",1306.99999999997,"right",5,20,25,80,25
"97",4333590,"Binoc","pos3Size1",1420.69999999995,"right",20,41,71,59,71
"98",4333590,"Binoc","pos3Size2",1597.77500000014,"right",10,41,71,59,71
"99",4333590,"Binoc","pos3Size3",1654.88750000007,"right",5,41,71,59,71
"100",4333590,"Binoc","pos4Size1",1614.70000000007,"right",20,74,74,26,74
"101",4333590,"Binoc","pos4Size2",1684.52499999991,"right",10,74,74,26,74
"102",4333590,"Binoc","pos4Size3",2034.07499999998,"right",5,74,74,26,74
"103",4333590,"Binoc","pos5Size1",948.512500000012,"right",20,8,46,92,46
"104",4333590,"Binoc","pos5Size2",1292.31250000009,"right",10,8,46,92,46
"105",4333590,"Binoc","pos5Size3",1610.03749999995,"right",5,8,46,92,46
"106",4333590,"Mono","pos1Size1",1086.11250000003,"right",20,40,40,60,40
"107",4333590,"Mono","pos1Size2",1233.14999999994,"right",10,40,40,60,40
"108",4333590,"Mono","pos1Size3",1429.625,"right",5,40,40,60,40
"109",4333590,"Mono","pos2Size1",946.07500000007,"right",20,20,25,80,25
"110",4333590,"Mono","pos2Size2",938.11249999996,"right",10,20,25,80,25
"111",4333590,"Mono","pos2Size3",1284.38749999992,"right",5,20,25,80,25
"112",4333590,"Mono","pos3Size1",1198.2125,"right",20,41,71,59,71
"113",4333590,"Mono","pos3Size2",1507.38749999998,"right",10,41,71,59,71
"114",4333590,"Mono","pos3Size3",1608.98750000004,"right",5,41,71,59,71
"115",4333590,"Mono","pos4Size1",1373.7375,"right",20,74,74,26,74
"116",4333590,"Mono","pos4Size2",1589.21250000002,"right",10,74,74,26,74
"117",4333590,"Mono","pos4Size3",1653.79999999997,"right",5,74,74,26,74
"118",4333590,"Mono","pos5Size1",1116.08749999995,"right",20,8,46,92,46
"119",4333590,"Mono","pos5Size2",1162.54999999999,"right",10,8,46,92,46
"120",4333590,"Mono","pos5Size3",1316.66249999998,"right",5,8,46,92,46
"121",4334401,"Binoc","pos1Size1",662.762500047684,"right",20,40,40,60,40
"122",4334401,"Binoc","pos1Size2",714.837500035763,"right",10,40,40,60,40
"123",4334401,"Binoc","pos1Size3",848.862500011922,"right",5,40,40,60,40
"124",4334401,"Binoc","pos2Size1",558.175000011921,"right",20,20,25,80,25
"125",4334401,"Binoc","pos2Size2",680.925000071526,"right",10,20,25,80,25
"126",4334401,"Binoc","pos2Size3",785.162499964237,"right",5,20,25,80,25
"127",4334401,"Binoc","pos3Size1",670.087499976158,"right",20,41,71,59,71
"128",4334401,"Binoc","pos3Size2",803.174999952316,"right",10,41,71,59,71
"129",4334401,"Binoc","pos3Size3",948.124999940395,"right",5,41,71,59,71
"130",4334401,"Binoc","pos4Size1",836.299999952316,"right",20,74,74,26,74
"131",4334401,"Binoc","pos4Size2",853.350000023842,"right",10,74,74,26,74
"132",4334401,"Binoc","pos4Size3",904.612499952316,"right",5,74,74,26,74
"133",4334401,"Binoc","pos5Size1",679.9375,"right",20,8,46,92,46
"134",4334401,"Binoc","pos5Size2",665.324999988079,"right",10,8,46,92,46
"135",4334401,"Binoc","pos5Size3",875.049999892713,"right",5,8,46,92,46
"136",4334401,"Mono","pos1Size1",700.374999940395,"right",20,40,40,60,40
"137",4334401,"Mono","pos1Size2",819.662500083447,"right",10,40,40,60,40
"138",4334401,"Mono","pos1Size3",926.199999928473,"right",5,40,40,60,40
"139",4334401,"Mono","pos2Size1",502.57499986887,"right",20,20,25,80,25
"140",4334401,"Mono","pos2Size2",694.774999916553,"right",10,20,25,80,25
"141",4334401,"Mono","pos2Size3",798.699999988079,"right",5,20,25,80,25
"142",4334401,"Mono","pos3Size1",739.074999928474,"right",20,41,71,59,71
"143",4334401,"Mono","pos3Size2",855.012500047683,"right",10,41,71,59,71
"144",4334401,"Mono","pos3Size3",933.512499928475,"right",5,41,71,59,71
"145",4334401,"Mono","pos4Size1",764.899999976158,"right",20,74,74,26,74
