"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"62",4336342,"Mono","Fitts's Law","right","5","pos4Size1",74,74,26,74,20,957
"63",4336342,"Mono","Fitts's Law","right","5","pos5Size3",8,46,92,46,5,972
"64",4336342,"Mono","Fitts's Law","right","5","pos2Size1",20,25,80,25,20,668
"65",4336342,"Mono","Fitts's Law","right","5","pos1Size3",40,40,60,40,5,837
"66",4336342,"Mono","Fitts's Law","right","5","pos1Size2",40,40,60,40,10,884
"67",4336342,"Mono","Fitts's Law","right","5","pos2Size3",20,25,80,25,5,772
"68",4336342,"Mono","Fitts's Law","right","5","pos3Size3",41,71,59,71,5,1012
"69",4336342,"Mono","Fitts's Law","right","5","pos5Size2",8,46,92,46,10,846
"70",4336342,"Mono","Fitts's Law","right","5","pos2Size2",20,25,80,25,10,710
"71",4336342,"Mono","Fitts's Law","right","5","pos4Size2",74,74,26,74,10,1124.00000000003
"72",4336342,"Mono","Fitts's Law","right","5","pos4Size3",74,74,26,74,5,1109
"73",4336342,"Mono","Fitts's Law","right","5","pos3Size1",41,71,59,71,20,1253.99999999997
"74",4336342,"Mono","Fitts's Law","right","5","pos3Size2",41,71,59,71,10,981
"75",4336342,"Mono","Fitts's Law","right","5","pos5Size1",8,46,92,46,20,1352
"76",4336342,"Mono","Fitts's Law","right","6","pos4Size1",74,74,26,74,20,958
"77",4336342,"Mono","Fitts's Law","right","6","pos4Size2",74,74,26,74,10,949
"78",4336342,"Mono","Fitts's Law","right","6","pos1Size2",40,40,60,40,10,855
"79",4336342,"Mono","Fitts's Law","right","6","pos3Size3",41,71,59,71,5,1060
"80",4336342,"Mono","Fitts's Law","right","6","pos5Size3",8,46,92,46,5,916
"81",4336342,"Mono","Fitts's Law","right","6","pos5Size2",8,46,92,46,10,694
"82",4336342,"Mono","Fitts's Law","right","6","pos3Size1",41,71,59,71,20,848
"83",4336342,"Mono","Fitts's Law","right","6","pos1Size1",40,40,60,40,20,660
"84",4336342,"Mono","Fitts's Law","right","6","pos1Size3",40,40,60,40,5,861
"85",4336342,"Mono","Fitts's Law","right","6","pos4Size3",74,74,26,74,5,1572
"86",4336342,"Mono","Fitts's Law","right","6","pos2Size1",20,25,80,25,20,829
"87",4336342,"Mono","Fitts's Law","right","6","pos2Size3",20,25,80,25,5,1415
"88",4336342,"Mono","Fitts's Law","right","6","pos5Size1",8,46,92,46,20,677.000000000029
"89",4336342,"Mono","Fitts's Law","right","6","pos2Size2",20,25,80,25,10,773
"90",4336342,"Mono","Fitts's Law","right","6","pos3Size2",41,71,59,71,10,1068.00000000003
"91",4336342,"Mono","Fitts's Law","right","7","pos5Size3",8,46,92,46,5,1000
"92",4336342,"Mono","Fitts's Law","right","7","pos2Size2",20,25,80,25,10,669
"93",4336342,"Mono","Fitts's Law","right","7","pos5Size2",8,46,92,46,10,828
"94",4336342,"Mono","Fitts's Law","right","7","pos3Size2",41,71,59,71,10,1279.00000000003
"95",4336342,"Mono","Fitts's Law","right","7","pos1Size1",40,40,60,40,20,684
"96",4336342,"Mono","Fitts's Law","right","7","pos4Size1",74,74,26,74,20,964.999999999971
"97",4336342,"Mono","Fitts's Law","right","7","pos4Size2",74,74,26,74,10,1093
"98",4336342,"Mono","Fitts's Law","right","7","pos3Size3",41,71,59,71,5,917
"99",4336342,"Mono","Fitts's Law","right","7","pos5Size1",8,46,92,46,20,701
"100",4336342,"Mono","Fitts's Law","right","7","pos1Size2",40,40,60,40,10,1190
"101",4336342,"Mono","Fitts's Law","right","7","pos2Size3",20,25,80,25,5,942
"102",4336342,"Mono","Fitts's Law","right","7","pos3Size1",41,71,59,71,20,1043
"103",4336342,"Mono","Fitts's Law","right","7","pos4Size3",74,74,26,74,5,1620.00000000003
"104",4336342,"Mono","Fitts's Law","right","7","pos1Size3",40,40,60,40,5,1271.00000000003
