Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1627135047334,24/07/2021 13:57:27,1627135047761,1,24/07/2021 14:57:27,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1627135049671,24/07/2021 13:57:29,1627135050133,1,24/07/2021 14:57:30,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,1,1,1,Screen 1,advancementZone,continue_button,2347,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1627135050646,24/07/2021 13:57:30,1627135051105,1,24/07/2021 14:57:31,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,3,1,1,noTarget,Zone1,response_button_image,964,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
4,1627135051257,24/07/2021 13:57:31,1627135051708,1,24/07/2021 14:57:31,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,3,1,2,target,Zone2,response_button_image,598,,,redSquare.png,1,0,1,0,,,,,1,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
5,1627135051834,24/07/2021 13:57:31,1627135052314,1,24/07/2021 14:57:32,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,14,1,1,noTarget,Zone1,response_button_image,598,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
6,1627135052574,24/07/2021 13:57:32,1627135053056,1,24/07/2021 14:57:33,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,14,1,2,target,Zone2,response_button_image,739,,,redSquare.png,1,0,1,0,,,,,1,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
7,1627135053233,24/07/2021 13:57:33,1627135053711,1,24/07/2021 14:57:33,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,9,1,1,noTarget,Zone1,response_button_image,648,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
8,1627135053833,24/07/2021 13:57:33,1627135054301,1,24/07/2021 14:57:34,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,9,1,2,target,Zone2,response_button_image,587,,,redSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
9,1627135054411,24/07/2021 13:57:34,1627135054881,1,24/07/2021 14:57:34,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,11,1,1,noTarget,Zone1,response_button_image,575,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
10,1627135055136,24/07/2021 13:57:35,1627135055606,1,24/07/2021 14:57:35,53563,19,task-sgnv,,14557336,ji3be73f,4332728,,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 90.0,1920x1080,1920x1080,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,11,1,2,target,Zone2,response_button_image,723,,,redSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
