Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
98,1640817940798,29/12/2021 22:45:40,1640817940160,0,29/12/2021 22:45:40,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,61,4,2,target,Zone2,response_button_image,1308.3000000000466,,,redSquare.png,1,0,1,0,,,,,4,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
99,1640817941964,29/12/2021 22:45:41,1640817941326,0,29/12/2021 22:45:41,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,50,4,1,noTarget,Zone1,response_button_image,1151.6999999999534,,,orangeSquare.png,1,0,1,0,,,,,4,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
100,1640817943015,29/12/2021 22:45:43,1640817942371,0,29/12/2021 22:45:42,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,50,4,2,target,Zone2,response_button_image,1038.3000000000466,,,redSquare.png,1,0,1,0,,,,,4,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
101,1640817944356,29/12/2021 22:45:44,1640817943718,0,29/12/2021 22:45:43,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,58,4,1,noTarget,Zone1,response_button_image,1332.2999999998137,,,orangeSquare.png,1,0,1,0,,,,,4,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
102,1640817945415,29/12/2021 22:45:45,1640817944773,0,29/12/2021 22:45:44,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,58,4,2,target,Zone2,response_button_image,1048.5,,,redSquare.png,1,0,1,0,,,,,4,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
103,1640817946293,29/12/2021 22:45:46,1640817945656,0,29/12/2021 22:45:45,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,59,4,1,noTarget,Zone1,response_button_image,868.2000000001863,,,orangeSquare.png,1,0,1,0,,,,,4,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
104,1640817947883,29/12/2021 22:45:47,1640817947235,0,29/12/2021 22:45:47,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,59,4,2,target,Zone2,response_button_image,1571.1000000000931,,,redSquare.png,1,0,1,0,,,,,4,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
105,1640817949134,29/12/2021 22:45:49,1640817948480,0,29/12/2021 22:45:48,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,52,4,1,noTarget,Zone1,response_button_image,1232.3000000000466,,,orangeSquare.png,1,0,1,0,,,,,4,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
106,1640817951468,29/12/2021 22:45:51,1640817950822,0,29/12/2021 22:45:50,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,52,4,2,target,Zone2,response_button_image,2333.2999999998137,,,redSquare.png,1,0,1,0,,,,,4,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
107,1640817953302,29/12/2021 22:45:53,1640817952661,0,29/12/2021 22:45:52,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,54,4,1,noTarget,Zone1,response_button_image,1824.8000000000466,,,orangeSquare.png,1,0,1,0,,,,,4,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
108,1640817955593,29/12/2021 22:45:55,1640817954953,0,29/12/2021 22:45:54,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,54,4,2,target,Zone2,response_button_image,2283.2999999998137,,,redSquare.png,1,0,1,0,,,,,4,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
109,1640817956888,29/12/2021 22:45:56,1640817956248,0,29/12/2021 22:45:56,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,51,4,1,noTarget,Zone1,response_button_image,1278.5,,,orangeSquare.png,1,0,1,0,,,,,4,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
110,1640817957826,29/12/2021 22:45:57,1640817957183,0,29/12/2021 22:45:57,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,51,4,2,target,Zone2,response_button_image,926.9000000001397,,,redSquare.png,1,0,1,0,,,,,4,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
111,1640817958928,29/12/2021 22:45:58,1640817958288,0,29/12/2021 22:45:58,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,49,4,1,noTarget,Zone1,response_button_image,1084.6999999999534,,,orangeSquare.png,1,0,1,0,,,,,4,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
112,1640817960139,29/12/2021 22:46:00,1640817959504,0,29/12/2021 22:45:59,53563,21,task-osyu,,18241287,BLIND,5389739,,complete,,,computer,Desktop or Laptop,Chromium OS 14268.67.0,Chrome 96.0.4664.111,1536x864,1024x497,,Fitts's Law,8,oneFirst,,,,,183,Right,183,Right,right,right,49,4,2,target,Zone2,response_button_image,1208.6000000000931,,,redSquare.png,1,0,1,0,,,,,4,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
