"","Participant.Private.ID","Binoc","Mono"
"1",4332728,0.131133955234237,0.214603158780359
"2",4333147,0.0755082397534059,0.0776343704980993
"3",4333569,0.159590195861881,0.205495722758318
"4",4333590,0.149273973420073,0.132023070083072
"5",4334401,0.294840752571605,0.242821696196931
"6",4334877,0.0733048167526563,-0.339105473474646
"7",4336146,-0.152931248928538,-0.238207218321201
"8",4336342,-0.125653714139884,-0.228354121762586
"9",4339358,0.408167000144679,0.383402242680411
"10",4354253,-0.113562780254817,-0.0979824846344142
"11",4372219,0.132023070083072,0.151053164956408
"12",4373538,0.163008490805894,0.235399480425686
"13",4379880,0.0908435424404244,-0.177889442172059
"14",4381159,0.202085282113611,0.444057349177566
"15",4384320,0.283557470903548,0.2968185133248
"16",4392148,0.119690908938555,0.12804566660156
"17",4404605,0.105575942637955,0.080568190127856
"18",4408537,0.212052145863888,0.0906563406364688
"19",4424285,0.00459481746333992,0.188296711153813
"20",4429865,0.186707669678207,0.184881962698913
"21",4443776,-0.326342933882511,0.172353665950427
"22",4445309,0.319088523156316,0.370381773733139
"23",4447916,0.219280427211605,0.225037376600599
"24",4447985,0.305157274614022,0.163552435364328
"25",4448050,0.149952943572825,0.205893071804562
"26",4449101,0.149988374764579,0.285370627536953
"27",4449137,0.397986140713018,-0.0981161177095149
"28",4449369,0.205727190123178,0.185123971676275
"29",4449420,0.127314739749138,0.213519029061588
"30",4449574,0.154999313980978,0.194960400050311
"31",4449717,0.189913950482847,0.16820367802428
"32",4450348,-0.0252152219335618,0.172476712006958
"33",4450899,0.0477373183301743,0.0514618241566985
"34",4452039,0.295219404119544,0.211078440105893
"35",4452506,-0.0373219735042717,0.184584078485866
"36",4454520,0.00499192661623452,-0.00491740642462483
"37",4460944,0.16532427453059,0.190690284656064
"38",4469128,0.316856944244067,0.374856118850173
"39",4472380,0.287332499319311,0.440648229550058
"40",4475413,0.239306109110117,0.257504392286719
"41",4476704,0.181182654291039,0.16532427453059
"42",4482002,0.140626470635365,0.162869302468011
"43",4488838,0.283766831354296,0.330681319135199
"44",4489139,-0.102954728838855,0.0542697172845611
"45",4491824,0.467148721509832,0.88224091559825
"46",4494914,0.074131867795498,0.216990732343876
"47",4495135,0.209655913857131,0.248741245361679
"48",4495599,0.24976025054828,0.315301449646951
