"","Participant.Private.ID","Binoc_pos1Size1","Binoc_pos1Size2","Binoc_pos1Size3","Binoc_pos2Size1","Binoc_pos2Size2","Binoc_pos2Size3","Binoc_pos3Size1","Binoc_pos3Size2","Binoc_pos3Size3","Binoc_pos4Size1","Binoc_pos4Size2","Binoc_pos4Size3","Binoc_pos5Size1","Binoc_pos5Size2","Binoc_pos5Size3","Mono_pos1Size1","Mono_pos1Size2","Mono_pos1Size3","Mono_pos2Size1","Mono_pos2Size2","Mono_pos2Size3","Mono_pos3Size1","Mono_pos3Size2","Mono_pos3Size3","Mono_pos4Size1","Mono_pos4Size2","Mono_pos4Size3","Mono_pos5Size1","Mono_pos5Size2","Mono_pos5Size3"
"1",4332728,487,626.25,644.125,436.75,621.125,663.5,613.125,643.25,744.75,595.125,689.5,815,504.125,580.125,650.875,485.625,562.375,719.5,452.5,517.375,671.75,748.625,675.625,733.375,655.625,695,820.25,508,568.125,889.125
"2",4333147,1614.21250000596,1711.42500007152,1812.32499995828,1403.07500001788,1451.73750001192,1605.98750001192,1745.08749997616,1819.93749994039,2107.27499997616,2276.13750004768,2365.17499992251,2340.41249999404,1486.93749994039,1562.8749999702,1713.21250000596,1628.26250004768,1913.82500004768,2085.9375000298,1566.22499999404,1665.47499996424,1834.20000004769,2057.69999998808,2271.9374999702,2274.41249996424,2154.03749999404,2320.78749996424,2602.07500001788,1843.59999999404,1695.15000003576,2169.53749993443
"3",4333569,727.0625,1015.61250007152,1082.96250003576,683.787500023842,1070.125,959.61250001192,1127.73749989271,1020.82499998808,1177.0625000596,1240.26249992847,1094.41249996424,1310.0624999404,708.687499940395,1086.54999995232,1070.52499991655,941.400000035763,987.224999964237,1146.4375000596,679.712499976158,886.187500119209,1065.86249989271,1181.55000001192,1165.46250003576,1465.44999992848,3629.08749997616,1580.21250003576,1476.04999989271,1472.92499995232,1075.27500003576,1207.46249997616
"4",4333590,944.400000000081,1185.81250000009,1795.78750000009,893.662499999919,1093.43750000006,1306.99999999997,1420.69999999995,1597.77500000014,1654.88750000007,1614.70000000007,1684.52499999991,2034.07499999998,948.512500000012,1292.31250000009,1610.03749999995,1086.11250000003,1233.14999999994,1429.625,946.07500000007,938.11249999996,1284.38749999992,1198.2125,1507.38749999998,1608.98750000004,1373.7375,1589.21250000002,1653.79999999997,1116.08749999995,1162.54999999999,1316.66249999998
"5",4334401,662.762500047684,714.837500035763,848.862500011922,558.175000011921,680.925000071526,785.162499964237,670.087499976158,803.174999952316,948.124999940395,836.299999952316,853.350000023842,904.612499952316,679.9375,665.324999988079,875.049999892713,700.374999940395,819.662500083447,926.199999928473,502.57499986887,694.774999916553,798.699999988079,739.074999928474,855.012500047683,933.512499928475,764.899999976158,1008.25,1166.19999992847,787.137500047683,714.337499976158,860.075000047684
"6",4334877,748.412499979138,842.524999976158,989.774999976158,671.899999976158,739.274999991059,844.437500014901,827.312500014901,963.10000000894,1120.02500000596,923.124999985098,1109.13749998808,1061.0000000149,759.45000000298,801.29999999702,989.76249998808,744.899999976158,830.47500000894,885.875000014901,650.837499976158,738.024999991059,761.88750000298,906.27500000596,948.26249998808,1053.33749999106,1003.84999997914,1151.78749999404,1129.3125,801.412500008941,868.050000011921,1094.61249999702
"7",4336146,743.649999999441,903.324999999255,863.174999998883,701.112500000745,681.674999999814,781.224999999627,773.100000002421,825.949999999255,1006.93749999907,857.712499999441,899.650000001304,1167.88750000112,824.325000000186,1303.47500000056,861.300000001676,720.349999999627,792.024999999441,1035.99999999907,1404.86249999888,709.737499999814,716.0625,746.3125,855.612499998883,917.549999999814,833.25,912.387499999255,1004.13749999926,646.099999999627,703.83749999851,845.375
"8",4336342,763.749999999995,806.125000000004,1167.25000000001,659.624999999996,870.499999999992,866.499999999999,757.5,1014.625,1030.25,1180.375,1171.75000000001,1250.99999999999,705.874999999998,890.875,965.249999999997,840.375,947.875000000001,1124.125,765.250000000004,765.125,1134.625,1027.87499999999,1026.75000000001,1128.5,1088.125,1177.12500000001,1382.00000000001,815.37500000001,891.25,1011.25
"9",4339358,859.12499999255,855.61250000447,1007.3125000149,687.47499999404,778.025000013411,902.41250000149,787.5625,999.58750000596,1019.76250001043,888.425000011921,988.80000001192,1204.66250000149,757.037499986589,903.79999999702,1071.83750000596,786.937500007451,849.58750000596,1121.45000001043,804.775000013411,863.02500000596,936.125,870.012499980628,1400.15000001341,1161.09999999404,919.22500000149,980.70000001043,1278.05000001192,926.64999999851,968.58749999851,1097.8125000149
"10",4354253,694.787500001025,837.974999999627,878.862500000279,671.074999999721,735.674999999581,877.025000000139,864.412500000559,857.699999999953,1007.97499999986,937.450000000419,948.137499999954,1151.76250000019,681.40000000014,812.137499999721,828.375000000233,721.949999999488,942.36250000028,963.850000000327,627.950000000652,685.25,824.41249999986,830.262500000186,884.762499999488,1157.73750000028,925.212499999907,984.562499999768,1041.32499999995,728.212499999907,774.53749999986,857.187500000233
