Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
116,1628456957679,08/08/2021 21:09:17,1628456953613,1,08/08/2021 22:09:13,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,59,4,2,target,Zone2,response_button_image,1454.5,,,redSquare.png,1,0,1,0,,,,,4,pos3Size3R,,pos3Size3,,41,71,59,71,5,pos3Size3L
117,1628456957750,08/08/2021 21:09:17,1628456955031,1,08/08/2021 22:09:15,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,48,4,1,noTarget,Zone1,response_button_image,1410.3999998569489,,,orangeSquare.png,1,0,1,0,,,,,4,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
118,1628456958266,08/08/2021 21:09:18,1628456955921,1,08/08/2021 22:09:15,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,48,4,2,target,Zone2,response_button_image,885.7000000476837,,,redSquare.png,1,0,1,0,,,,,4,pos2Size1R,,pos2Size1,,20,25,80,25,20,pos2Size1L
119,1628456960472,08/08/2021 21:09:20,1628456958140,1,08/08/2021 22:09:18,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,51,4,1,noTarget,Zone1,response_button_image,2197.199999809265,,,orangeSquare.png,1,0,1,0,,,,,4,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
120,1628456961659,08/08/2021 21:09:21,1628456959314,1,08/08/2021 22:09:19,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,51,4,2,target,Zone2,response_button_image,1165,,,redSquare.png,1,0,1,0,,,,,4,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
121,1628456962691,08/08/2021 21:09:22,1628456960359,1,08/08/2021 22:09:20,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,54,4,1,noTarget,Zone1,response_button_image,1036.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,4,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
122,1628456963800,08/08/2021 21:09:23,1628456961460,1,08/08/2021 22:09:21,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,54,4,2,target,Zone2,response_button_image,1094.8999998569489,,,redSquare.png,1,0,1,0,,,,,4,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
123,1628456965552,08/08/2021 21:09:25,1628456963196,1,08/08/2021 22:09:23,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,62,1,1,Screen 1,advancementZone,continue_button,1724,,,,,0,1,0,,,,,,break,,,,,,,,,
124,1628456968928,08/08/2021 21:09:28,1628456966595,1,08/08/2021 22:09:26,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,74,5,1,noTarget,Zone1,response_button_image,3390.7000000476837,,,orangeSquare.png,1,0,1,0,,,,,5,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
125,1628456970147,08/08/2021 21:09:30,1628456967812,1,08/08/2021 22:09:27,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,74,5,2,target,Zone2,response_button_image,1213.3999998569489,,,redSquare.png,1,0,1,0,,,,,5,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
126,1628456971590,08/08/2021 21:09:31,1628456969251,1,08/08/2021 22:09:29,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,67,5,1,noTarget,Zone1,response_button_image,1429.7000000476837,,,orangeSquare.png,1,0,1,0,,,,,5,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
127,1628456972523,08/08/2021 21:09:32,1628456970190,1,08/08/2021 22:09:30,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,67,5,2,target,Zone2,response_button_image,932,,,redSquare.png,1,0,1,0,,,,,5,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
128,1628456973822,08/08/2021 21:09:33,1628456971473,1,08/08/2021 22:09:31,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,63,5,1,noTarget,Zone1,response_button_image,1274.5999999046326,,,orangeSquare.png,1,0,1,0,,,,,5,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
129,1628456974691,08/08/2021 21:09:34,1628456972354,1,08/08/2021 22:09:32,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,63,5,2,target,Zone2,response_button_image,874.4000000953674,,,redSquare.png,1,0,1,0,,,,,5,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
