"","id","visCondNum","visSearch"
"1","1",0,3696
"2","1",1,3051
"3","2",0,6164.30000001192
"4","2",1,27092.875
"5","3",0,8387.375
"6","3",1,9314.70000004767
"7","4",0,15076.6000000001
"8","4",1,5414.59999999997
"9","5",0,22668.8000000318
"10","5",1,5159.99999976158
"11","6",0,13060.6500000656
"12","6",1,9410.42500001194
"13","7",0,4770.14999999665
"14","7",1,4092.92500000261
"15","8",0,5685
"16","8",1,15788.25
"17","9",0,13964.3750000149
"18","9",1,6139.04999998211
"19","10",0,3400.62499999953
"20","10",1,11581
"21","11",0,3574.625
"22","11",1,8003.52499999851
"23","12",0,4895.77500002086
"24","12",1,11326.0500000119
"25","13",0,7123.5
"26","13",1,6536.25
"27","14",0,12421.2875000085
"28","14",1,15320.0287500222
"29","15",0,4520.27500003576
"30","15",1,15424.7249999941
"31","16",0,12541.049999997
"32","16",1,5281.89999999851
"33","17",0,9193.97499999986
"34","17",1,7596.00000000007
"35","18",0,8727.42500000448
"36","18",1,7851.67500000446
"37","19",0,4934.31749998126
"38","19",1,4930.55124999955
"39","20",0,2947.875
"40","20",1,5786.70000004767
"41","21",0,26902.6750000001
"42","21",1,23526.5749999999
"43","22",0,18932.6666666667
"44","22",1,21121
"45","23",0,31127.775000006
"46","23",1,4268.36666666468
"47","24",0,10509.8249999285
"48","24",1,20790.8499999642
"49","25",0,20756.6750000119
"50","25",1,9522.02499999851
"51","26",0,4606.44999992847
"52","26",1,5677.35000002384
"53","27",0,8029.64999999479
"54","28",0,3586.54999995232
"55","28",1,3602.15000003576
"56","29",0,22350.5749999285
"57","29",1,13913.9249999523
"58","30",0,16481.7250000001
"59","30",1,11582.1
"60","31",0,13601.5
"61","31",1,23703.25
"62","32",0,12560.1999999997
"63","32",1,11877.7666666663
"64","33",0,7663.20000000298
"65","33",1,27293.899999991
"66","34",0,19254.0999999841
"67","34",1,27529.5499999821
"68","35",0,24313.0999999978
"69","35",1,23953.5
"70","36",0,33619
"71","36",1,17765.25
"72","37",0,3314.97500002384
"73","37",1,15329.8999999762
"74","38",0,23761.3749999963
"75","38",1,26503.1999999992
"76","39",0,7159.23333333929
"77","39",1,20617.8333333383
"78","40",0,11174.2000000002
"79","40",1,12057.4249999998
"80","41",0,5714.55000000004
"81","41",1,6949.62500000012
"82","42",0,18281.9750000006
"83","42",1,6835.53333333321
"84","43",0,12588.4750000537
"85","43",1,14798.75
"86","44",0,8901.3250000002
"87","44",1,15067.2750000008
"88","45",0,8611.92499999703
"89","45",1,17837.9499999955
"90","46",0,12537.5
"91","46",1,12665.5
"92","47",0,10153.325
"93","47",1,32695.7000000001
"94","48",0,8515.77500000596
"95","48",1,5770.67500004172
"96","49",0,21401.3249999999
"97","49",1,33857.6250000001
"98","50",0,13292.7333333343
"99","50",1,7149.92500000074
"100","51",0,3454.52500000596
"101","51",1,8624.04999998955
"102","52",0,14074.8999999911
"103","52",1,6414.4000000134
"104","53",0,18742.5666666826
"105","53",1,10725.9333332777
"106","54",0,4990.80000000075
"107","54",1,12701.8249999992
"108","55",0,7929.87500000001
"109","55",1,10725.2250001431
"110","56",0,12120.5
"111","56",1,30277.25
"112","57",0,4920.2749999999
"113","57",1,5332.90000000037
"114","58",0,6456.75
"115","58",1,5731.75
"116","59",0,13244.9
"117","59",1,15873.875
"118","60",0,6142
"119","60",1,4024
"120","61",0,5090.07500000004
"121","61",1,18639.7749998569
"122","62",0,5906.59999998411
"123","62",1,9437.99999999999
"124","63",0,3964.1249999702
"125","63",1,3755.5000000298
"126","64",0,4006.34999999998
"127","64",1,20824.925
"128","65",0,15319.35
"129","65",1,11005.375
