Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
189,1638277943678,30/11/2021 13:12:23,1638277943623,0,30/11/2021 13:12:23,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,96,7,2,target,Zone2,response_button_image,1297.1999999284744,,,redSquare.png,1,0,1,0,,,,,7,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
190,1638277944724,30/11/2021 13:12:24,1638277944704,0,30/11/2021 13:12:24,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,103,7,1,noTarget,Zone1,response_button_image,1064.1000000238419,,,orangeSquare.png,1,0,1,0,,,,,7,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
191,1638277946069,30/11/2021 13:12:26,1638277946046,0,30/11/2021 13:12:26,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,103,7,2,target,Zone2,response_button_image,1333.6999999284744,,,redSquare.png,1,0,1,0,,,,,7,pos1Size3R,,pos1Size3,,40,40,60,40,5,pos1Size3L
192,1638277947179,30/11/2021 13:12:27,1638277947141,0,30/11/2021 13:12:27,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,98,7,1,noTarget,Zone1,response_button_image,1077.3999999761581,,,orangeSquare.png,1,0,1,0,,,,,7,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
193,1638277948231,30/11/2021 13:12:28,1638277948102,0,30/11/2021 13:12:28,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,98,7,2,target,Zone2,response_button_image,948.1999999284744,,,redSquare.png,1,0,1,0,,,,,7,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
194,1638277949507,30/11/2021 13:12:29,1638277949467,0,30/11/2021 13:12:29,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,106,7,1,noTarget,Zone1,response_button_image,1350.1000000238419,,,orangeSquare.png,1,0,1,0,,,,,7,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
195,1638277950960,30/11/2021 13:12:30,1638277950913,0,30/11/2021 13:12:30,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,106,7,2,target,Zone2,response_button_image,1435.7999999523163,,,redSquare.png,1,0,1,0,,,,,7,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
196,1638277952282,30/11/2021 13:12:32,1638277952195,0,30/11/2021 13:12:32,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,107,7,1,noTarget,Zone1,response_button_image,1266.6000000238419,,,orangeSquare.png,1,0,1,0,,,,,7,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
197,1638277953414,30/11/2021 13:12:33,1638277953260,0,30/11/2021 13:12:33,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,107,7,2,target,Zone2,response_button_image,1055.5,,,redSquare.png,1,0,1,0,,,,,7,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
198,1638277954237,30/11/2021 13:12:34,1638277954207,0,30/11/2021 13:12:34,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,104,7,1,noTarget,Zone1,response_button_image,931.2999999523163,,,orangeSquare.png,1,0,1,0,,,,,7,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
199,1638277955273,30/11/2021 13:12:35,1638277955241,0,30/11/2021 13:12:35,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,104,7,2,target,Zone2,response_button_image,1023.5,,,redSquare.png,1,0,1,0,,,,,7,pos2Size3R,,pos2Size3,,20,25,80,25,5,pos2Size3L
200,1638277956242,30/11/2021 13:12:36,1638277956208,0,30/11/2021 13:12:36,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,97,7,1,noTarget,Zone1,response_button_image,951.1000000238419,,,orangeSquare.png,1,0,1,0,,,,,7,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
201,1638277957009,30/11/2021 13:12:37,1638277956987,0,30/11/2021 13:12:36,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,97,7,2,target,Zone2,response_button_image,768.9000000953674,,,redSquare.png,1,0,1,0,,,,,7,pos5Size1R,,pos5Size1,,8,46,92,46,20,pos5Size1L
202,1638277958086,30/11/2021 13:12:38,1638277958051,0,30/11/2021 13:12:38,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,99,7,1,noTarget,Zone1,response_button_image,1048.3999999761581,,,orangeSquare.png,1,0,1,0,,,,,7,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
203,1638277958869,30/11/2021 13:12:38,1638277958782,0,30/11/2021 13:12:38,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,99,7,2,target,Zone2,response_button_image,723.2999999523163,,,redSquare.png,1,0,1,0,,,,,7,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
204,1638277959540,30/11/2021 13:12:39,1638277959484,0,30/11/2021 13:12:39,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,93,7,1,noTarget,Zone1,response_button_image,685,,,orangeSquare.png,1,0,1,0,,,,,7,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
205,1638277960259,30/11/2021 13:12:40,1638277960227,0,30/11/2021 13:12:40,53563,21,task-hg5t,,17587951,BLIND,5193241,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 96.0.1054.34,1280x854,1232x743,,Fitts's Law,8,oneFirst,,,,,178,Right,178,Right,right,right,93,7,2,target,Zone2,response_button_image,738.7000000476837,,,redSquare.png,1,0,1,0,,,,,7,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
