Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
1,1633943472341,11/10/2021 09:11:12,1633943472682,1,11/10/2021 10:11:12,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,
2,1633943475624,11/10/2021 09:11:15,1633943476039,1,11/10/2021 10:11:16,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,1,1,1,Screen 1,advancementZone,continue_button,3329.100000023842,,,,,0,1,0,,,,,,introduction,,introduction,,,,,,,introduction
3,1633943477577,11/10/2021 09:11:17,1633943477966,1,11/10/2021 10:11:17,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,9,1,1,noTarget,Zone1,response_button_image,1918.5,,,orangeSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
4,1633943478914,11/10/2021 09:11:18,1633943479289,1,11/10/2021 10:11:19,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,9,1,2,target,Zone2,response_button_image,1317.7000000178814,,,redSquare.png,1,0,1,0,,,,,1,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
5,1633943480615,11/10/2021 09:11:20,1633943480963,1,11/10/2021 10:11:20,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,7,1,1,noTarget,Zone1,response_button_image,1665.2000000178814,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
6,1633943482019,11/10/2021 09:11:22,1633943481875,1,11/10/2021 10:11:21,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,7,1,2,target,Zone2,response_button_image,907.5999999940395,,,redSquare.png,1,0,1,0,,,,,1,pos1Size2R,,pos1Size2,,40,40,60,40,10,pos1Size2L
7,1633943482831,11/10/2021 09:11:22,1633943482641,1,11/10/2021 10:11:22,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,11,1,1,noTarget,Zone1,response_button_image,747.8000000119209,,,orangeSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
8,1633943483305,11/10/2021 09:11:23,1633943483518,1,11/10/2021 10:11:23,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,11,1,2,target,Zone2,response_button_image,874.7000000178814,,,redSquare.png,1,0,1,0,,,,,1,pos5Size2R,,pos5Size2,,8,46,92,46,10,pos5Size2L
9,1633943484524,11/10/2021 09:11:24,1633943484907,1,11/10/2021 10:11:24,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,8,1,1,noTarget,Zone1,response_button_image,1380.0999999940395,,,orangeSquare.png,1,0,1,0,,,,,1,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
10,1633943485342,11/10/2021 09:11:25,1633943485747,1,11/10/2021 10:11:25,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,8,1,2,target,Zone2,response_button_image,835.3000000119209,,,redSquare.png,1,0,1,0,,,,,1,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
11,1633943486339,11/10/2021 09:11:26,1633943486524,1,11/10/2021 10:11:26,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,15,1,1,noTarget,Zone1,response_button_image,770,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
12,1633943487323,11/10/2021 09:11:27,1633943487540,1,11/10/2021 10:11:27,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,15,1,2,target,Zone2,response_button_image,1010.5999999940395,,,redSquare.png,1,0,1,0,,,,,1,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
13,1633943488339,11/10/2021 09:11:28,1633943488517,1,11/10/2021 10:11:28,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,10,1,1,noTarget,Zone1,response_button_image,967.5999999940395,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
14,1633943489337,11/10/2021 09:11:29,1633943489297,1,11/10/2021 10:11:29,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,10,1,2,target,Zone2,response_button_image,774.7000000178814,,,redSquare.png,1,0,1,0,,,,,1,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
15,1633943490418,11/10/2021 09:11:30,1633943490023,1,11/10/2021 10:11:30,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,5,1,1,noTarget,Zone1,response_button_image,718.5999999940395,,,orangeSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
16,1633943492106,11/10/2021 09:11:32,1633943490823,1,11/10/2021 10:11:30,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,5,1,2,target,Zone2,response_button_image,794.4000000059605,,,redSquare.png,1,0,1,0,,,,,1,pos4Size1R,,pos4Size1,,74,74,26,74,20,pos4Size1L
17,1633943492106,11/10/2021 09:11:32,1633943491642,1,11/10/2021 10:11:31,53563,20,task-osyu,,16292017,BLIND,4821358,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 94.0.992.38,1280x720,1280x609,,Fitts's Law,8,oneFirst,,,,,168,Right,168,Right,right,right,2,1,1,noTarget,Zone1,response_button_image,811.4000000059605,,,orangeSquare.png,1,0,1,0,,,,,1,pos1Size1R,,pos1Size1,,40,40,60,40,20,pos1Size1L
