"","X1","Participant.Private.ID","Eye.Condition","Trial.Number","Attempt","Reaction.Time","X.Coordinate","Y.Coordinate","VS_Puzzle","Correct"
"79",80,4452039,"Mono",3,1,9028.80000000005,150,211,"Image2.PNG",1
"80",88,4454520,"Mono",1,1,9285.40000000037,160,214.753521126761,"Image2.PNG",1
"81",100,4449574,"Mono",4,1,5924.60000038147,165,212,"Image2.PNG",1
"82",108,4424285,"Mono",3,1,5701.80000001192,163,213,"Image2.PNG",1
"83",118,4404605,"Mono",4,1,6683.70000000019,173,217,"Image2.PNG",1
"84",129,4381159,"Mono",3,1,31981.2450000318,160,217,"Image2.PNG",1
"85",137,4373538,"Mono",3,1,9747.80000001192,163,212,"Image2.PNG",1
"86",147,4336342,"Mono",3,1,28509,166,210,"Image2.PNG",1
"87",154,4333147,"Mono",1,1,34127.7999999523,160,214,"Image2.PNG",1
"88",161,4450348,"Mono",1,1,5752,172,209,"Image2.PNG",1
"89",176,4334877,"Mono",4,1,4852.30000007153,160,212,"Image2.PNG",1
"90",186,4392148,"Mono",4,1,6251.29999998212,161,206,"Image2.PNG",1
"91",197,4447985,"Mono",3,1,6950.79999995232,148,209,"Image2.PNG",1
"92",205,4449420,"Mono",4,1,7449.09999999404,149.232087227414,212.746478873239,"Image2.PNG",1
"93",212,4450899,"Mono",3,1,29919.6000001431,158,215,"Image2.PNG",1
"94",219,4452506,"Mono",1,1,14245,159,213,"Image2.PNG",1
"95",228,4449369,"Mono",3,1,6593,159,216,"Image2.PNG",1
"96",233,4449101,"Mono",2,1,15576.900000006,491.764797507788,12.9545454545455,"Image2.PNG",0
"97",242,4445309,"Mono",3,1,30002.1000000238,176,216,"Image2.PNG",1
"98",247,4429865,"Mono",2,1,2800.47499993816,166,216,"Image2.PNG",1
"99",258,4408537,"Mono",1,1,19149,155,211,"Image2.PNG",1
"100",270,4379880,"Mono",1,1,3920,168,213,"Image2.PNG",1
"101",282,4372219,"Mono",3,1,4260.5,161,206,"Image2.PNG",1
"102",294,4354253,"Mono",3,1,29628.4000000004,158,213,"Image2.PNG",1
"103",305,4336146,"Mono",3,1,5581.80000000447,180,205,"Image2.PNG",1
"104",318,4333569,"Mono",4,1,5194.2000002861,159,211,"Image2.PNG",1
